Postnumre, kommuner og regioner, 1.1.2016		
		
Hele Landet		
		
postnumre	kommuner	regioner
1874 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1875 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1876 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1877 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1878 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1879 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1880 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1881 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1882 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1883 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1884 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1885 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1886 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1887 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1888 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1889 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1890 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1891 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1892 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1893 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1894 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1895 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1896 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1897 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1898 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1899 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1900 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1901 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1902 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1903 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1904 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1905 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1906 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1907 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1908 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1909 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1910 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1911 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1912 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1913 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1914 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1915 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1916 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1917 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1918 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1919 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1920 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1921 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1922 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1923 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1924 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1925 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1926 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1927 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1928 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1929 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1930 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1931 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1932 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1933 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1934 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1935 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1936 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1937 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1938 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1939 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1940 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1941 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1942 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1943 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1944 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1945 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1946 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1947 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1948 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1949 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1950 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1951 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1952 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1953 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1954 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1955 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1956 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1957 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1958 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1959 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1960 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1961 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1962 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1963 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1964 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1965 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1966 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1967 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1968 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1969 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1970 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1971 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1972 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1973 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1974 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1975 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1976 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1977 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1978 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1979 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1980 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1981 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1982 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1983 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1984 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1985 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1986 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1987 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1988 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1989 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1990 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1991 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1992 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1993 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1994 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1995 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1996 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1997 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1998 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1999 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
2000 Frederiksberg	101 København	1084 Hovedstaden
2000 Frederiksberg	147 Frederiksberg	1084 Hovedstaden
2001 Frederiksberg	147 Frederiksberg	1084 Hovedstaden
2002 Frederiksberg	147 Frederiksberg	1084 Hovedstaden
2003 Frederiksberg	147 Frederiksberg	1084 Hovedstaden
2006 Frederiksberg	147 Frederiksberg	1084 Hovedstaden
2100 København Ø	101 København	1084 Hovedstaden
2103 København Ø	101 København	1084 Hovedstaden
2150 Nordhavn	101 København	1084 Hovedstaden
2200 København N	101 København	1084 Hovedstaden
2200 København N	147 Frederiksberg	1084 Hovedstaden
2201 København N	101 København	1084 Hovedstaden
2300 København S	101 København	1084 Hovedstaden
2300 København S	185 Tårnby	1084 Hovedstaden
2301 København S	101 København	1084 Hovedstaden
2305 København S	101 København	1084 Hovedstaden
2306 København S	101 København	1084 Hovedstaden
2307 København S	101 København	1084 Hovedstaden
2310 København S	101 København	1084 Hovedstaden
2400 København NV	101 København	1084 Hovedstaden
2450 København SV	101 København	1084 Hovedstaden
2500 Valby	101 København	1084 Hovedstaden
2503 Valby	101 København	1084 Hovedstaden
2600 Glostrup	161 Glostrup	1084 Hovedstaden
2600 Glostrup	165 Albertslund	1084 Hovedstaden
2605 Brøndby	153 Brøndby	1084 Hovedstaden
2610 Rødovre	101 København	1084 Hovedstaden
2610 Rødovre	167 Hvidovre	1084 Hovedstaden
2610 Rødovre	175 Rødovre	1084 Hovedstaden
2620 Albertslund	165 Albertslund	1084 Hovedstaden
2625 Vallensbæk	187 Vallensbæk	1084 Hovedstaden
2630 Taastrup	169 Høje-Taastrup	1084 Hovedstaden
2635 Ishøj	183 Ishøj	1084 Hovedstaden
2640 Hedehusene	169 Høje-Taastrup	1084 Hovedstaden
2640 Hedehusene	183 Ishøj	1084 Hovedstaden
2640 Hedehusene	253 Greve	1085 Sjælland
2640 Hedehusene	265 Roskilde	1085 Sjælland
2650 Hvidovre	153 Brøndby	1084 Hovedstaden
2650 Hvidovre	167 Hvidovre	1084 Hovedstaden
2660 Brøndby Strand	153 Brøndby	1084 Hovedstaden
2660 Brøndby Strand	167 Hvidovre	1084 Hovedstaden
2665 Vallensbæk Strand	187 Vallensbæk	1084 Hovedstaden
2670 Greve	253 Greve	1085 Sjælland
2680 Solrød Strand	269 Solrød	1085 Sjælland
2690 Karlslunde	253 Greve	1085 Sjælland
2690 Karlslunde	269 Solrød	1085 Sjælland
2700 Brønshøj	101 København	1084 Hovedstaden
2720 Vanløse	101 København	1084 Hovedstaden
2720 Vanløse	147 Frederiksberg	1084 Hovedstaden
2730 Herlev	151 Ballerup	1084 Hovedstaden
2730 Herlev	163 Herlev	1084 Hovedstaden
2740 Skovlunde	151 Ballerup	1084 Hovedstaden
2740 Skovlunde	163 Herlev	1084 Hovedstaden
2750 Ballerup	151 Ballerup	1084 Hovedstaden
2750 Ballerup	240 Egedal	1084 Hovedstaden
2760 Måløv	151 Ballerup	1084 Hovedstaden
2765 Smørum	240 Egedal	1084 Hovedstaden
2770 Kastrup	101 København	1084 Hovedstaden
2770 Kastrup	185 Tårnby	1084 Hovedstaden
2791 Dragør	155 Dragør	1084 Hovedstaden
2791 Dragør	185 Tårnby	1084 Hovedstaden
2800 Kgs. Lyngby	157 Gentofte	1084 Hovedstaden
2800 Kgs. Lyngby	159 Gladsaxe	1084 Hovedstaden
2800 Kgs. Lyngby	173 Lyngby-Taarbæk	1084 Hovedstaden
2800 Kgs. Lyngby	230 Rudersdal	1084 Hovedstaden
2820 Gentofte	157 Gentofte	1084 Hovedstaden
2820 Gentofte	159 Gladsaxe	1084 Hovedstaden
2830 Virum	173 Lyngby-Taarbæk	1084 Hovedstaden
2830 Virum	230 Rudersdal	1084 Hovedstaden
2840 Holte	173 Lyngby-Taarbæk	1084 Hovedstaden
2840 Holte	230 Rudersdal	1084 Hovedstaden
2850 Nærum	230 Rudersdal	1084 Hovedstaden
2860 Søborg	101 København	1084 Hovedstaden
2860 Søborg	159 Gladsaxe	1084 Hovedstaden
2870 Dyssegård	157 Gentofte	1084 Hovedstaden
2880 Bagsværd	159 Gladsaxe	1084 Hovedstaden
2880 Bagsværd	163 Herlev	1084 Hovedstaden
2880 Bagsværd	190 Furesø	1084 Hovedstaden
2900 Hellerup	101 København	1084 Hovedstaden
2900 Hellerup	157 Gentofte	1084 Hovedstaden
2920 Charlottenlund	157 Gentofte	1084 Hovedstaden
2930 Klampenborg	157 Gentofte	1084 Hovedstaden
2930 Klampenborg	173 Lyngby-Taarbæk	1084 Hovedstaden
2942 Skodsborg	230 Rudersdal	1084 Hovedstaden
2950 Vedbæk	223 Hørsholm	1084 Hovedstaden
2950 Vedbæk	230 Rudersdal	1084 Hovedstaden
2960 Rungsted Kyst	223 Hørsholm	1084 Hovedstaden
2970 Hørsholm	210 Fredensborg	1084 Hovedstaden
2970 Hørsholm	223 Hørsholm	1084 Hovedstaden
2970 Hørsholm	230 Rudersdal	1084 Hovedstaden
2980 Kokkedal	210 Fredensborg	1084 Hovedstaden
2980 Kokkedal	223 Hørsholm	1084 Hovedstaden
2990 Nivå	210 Fredensborg	1084 Hovedstaden
3000 Helsingør	217 Helsingør	1084 Hovedstaden
3050 Humlebæk	210 Fredensborg	1084 Hovedstaden
3060 Espergærde	210 Fredensborg	1084 Hovedstaden
3060 Espergærde	217 Helsingør	1084 Hovedstaden
3070 Snekkersten	217 Helsingør	1084 Hovedstaden
3080 Tikøb	217 Helsingør	1084 Hovedstaden
3100 Hornbæk	217 Helsingør	1084 Hovedstaden
3100 Hornbæk	270 Gribskov	1084 Hovedstaden
3120 Dronningmølle	270 Gribskov	1084 Hovedstaden
3140 Ålsgårde	217 Helsingør	1084 Hovedstaden
3150 Hellebæk	217 Helsingør	1084 Hovedstaden
3200 Helsinge	219 Hillerød	1084 Hovedstaden
3200 Helsinge	270 Gribskov	1084 Hovedstaden
3210 Vejby	270 Gribskov	1084 Hovedstaden
3220 Tisvildeleje	270 Gribskov	1084 Hovedstaden
3230 Græsted	217 Helsingør	1084 Hovedstaden
3230 Græsted	219 Hillerød	1084 Hovedstaden
3230 Græsted	270 Gribskov	1084 Hovedstaden
3250 Gilleleje	270 Gribskov	1084 Hovedstaden
3300 Frederiksværk	260 Halsnæs	1084 Hovedstaden
3300 Frederiksværk	270 Gribskov	1084 Hovedstaden
3310 Ølsted	219 Hillerød	1084 Hovedstaden
3310 Ølsted	260 Halsnæs	1084 Hovedstaden
3320 Skævinge	219 Hillerød	1084 Hovedstaden
3320 Skævinge	260 Halsnæs	1084 Hovedstaden
3330 Gørløse	219 Hillerød	1084 Hovedstaden
3360 Liseleje	260 Halsnæs	1084 Hovedstaden
3370 Melby	260 Halsnæs	1084 Hovedstaden
3390 Hundested	260 Halsnæs	1084 Hovedstaden
3400 Hillerød	201 Allerød	1084 Hovedstaden
3400 Hillerød	210 Fredensborg	1084 Hovedstaden
3400 Hillerød	219 Hillerød	1084 Hovedstaden
3450 Allerød	201 Allerød	1084 Hovedstaden
3450 Allerød	210 Fredensborg	1084 Hovedstaden
3450 Allerød	219 Hillerød	1084 Hovedstaden
3460 Birkerød	190 Furesø	1084 Hovedstaden
3460 Birkerød	201 Allerød	1084 Hovedstaden
3460 Birkerød	230 Rudersdal	1084 Hovedstaden
3480 Fredensborg	210 Fredensborg	1084 Hovedstaden
3480 Fredensborg	217 Helsingør	1084 Hovedstaden
3480 Fredensborg	219 Hillerød	1084 Hovedstaden
3490 Kvistgård	210 Fredensborg	1084 Hovedstaden
3490 Kvistgård	217 Helsingør	1084 Hovedstaden
3500 Værløse	151 Ballerup	1084 Hovedstaden
3500 Værløse	159 Gladsaxe	1084 Hovedstaden
3500 Værløse	173 Lyngby-Taarbæk	1084 Hovedstaden
3500 Værløse	190 Furesø	1084 Hovedstaden
3500 Værløse	240 Egedal	1084 Hovedstaden
3520 Farum	190 Furesø	1084 Hovedstaden
3520 Farum	201 Allerød	1084 Hovedstaden
3520 Farum	240 Egedal	1084 Hovedstaden
3540 Lynge	201 Allerød	1084 Hovedstaden
3540 Lynge	219 Hillerød	1084 Hovedstaden
3540 Lynge	240 Egedal	1084 Hovedstaden
3550 Slangerup	201 Allerød	1084 Hovedstaden
3550 Slangerup	219 Hillerød	1084 Hovedstaden
3550 Slangerup	240 Egedal	1084 Hovedstaden
3550 Slangerup	250 Frederikssund	1084 Hovedstaden
3600 Frederikssund	219 Hillerød	1084 Hovedstaden
3600 Frederikssund	250 Frederikssund	1084 Hovedstaden
3600 Frederikssund	260 Halsnæs	1084 Hovedstaden
3630 Jægerspris	250 Frederikssund	1084 Hovedstaden
3650 Ølstykke	240 Egedal	1084 Hovedstaden
3660 Stenløse	240 Egedal	1084 Hovedstaden
3670 Veksø Sjælland	240 Egedal	1084 Hovedstaden
3670 Veksø Sjælland	265 Roskilde	1085 Sjælland
3700 Rønne	400 Bornholm	1084 Hovedstaden
3720 Aakirkeby	400 Bornholm	1084 Hovedstaden
3730 Nexø	400 Bornholm	1084 Hovedstaden
3740 Svaneke	400 Bornholm	1084 Hovedstaden
3751 Østermarie	400 Bornholm	1084 Hovedstaden
3760 Gudhjem	400 Bornholm	1084 Hovedstaden
3760 Gudhjem	411 Christiansø	1084 Hovedstaden
3770 Allinge	400 Bornholm	1084 Hovedstaden
3782 Klemensker	400 Bornholm	1084 Hovedstaden
3790 Hasle	400 Bornholm	1084 Hovedstaden
4000 Roskilde	169 Høje-Taastrup	1084 Hovedstaden
4000 Roskilde	265 Roskilde	1085 Sjælland
4000 Roskilde	350 Lejre	1085 Sjælland
4030 Tune	253 Greve	1085 Sjælland
4030 Tune	265 Roskilde	1085 Sjælland
4040 Jyllinge	265 Roskilde	1085 Sjælland
4050 Skibby	250 Frederikssund	1084 Hovedstaden
4060 Kirke Såby	350 Lejre	1085 Sjælland
4070 Kirke Hyllinge	350 Lejre	1085 Sjælland
4100 Ringsted	259 Køge	1085 Sjælland
4100 Ringsted	316 Holbæk	1085 Sjælland
4100 Ringsted	320 Faxe	1085 Sjælland
4100 Ringsted	329 Ringsted	1085 Sjælland
4100 Ringsted	340 Sorø	1085 Sjælland
4100 Ringsted	370 Næstved	1085 Sjælland
4130 Viby Sjælland	259 Køge	1085 Sjælland
4130 Viby Sjælland	265 Roskilde	1085 Sjælland
4140 Borup	259 Køge	1085 Sjælland
4140 Borup	265 Roskilde	1085 Sjælland
4140 Borup	329 Ringsted	1085 Sjælland
4160 Herlufmagle	320 Faxe	1085 Sjælland
4160 Herlufmagle	370 Næstved	1085 Sjælland
4171 Glumsø	370 Næstved	1085 Sjælland
4173 Fjenneslev	329 Ringsted	1085 Sjælland
4173 Fjenneslev	340 Sorø	1085 Sjælland
4174 Jystrup Midtsj	259 Køge	1085 Sjælland
4174 Jystrup Midtsj	329 Ringsted	1085 Sjælland
4180 Sorø	329 Ringsted	1085 Sjælland
4180 Sorø	330 Slagelse	1085 Sjælland
4180 Sorø	340 Sorø	1085 Sjælland
4190 Munke Bjergby	330 Slagelse	1085 Sjælland
4190 Munke Bjergby	340 Sorø	1085 Sjælland
4200 Slagelse	326 Kalundborg	1085 Sjælland
4200 Slagelse	330 Slagelse	1085 Sjælland
4200 Slagelse	340 Sorø	1085 Sjælland
4200 Slagelse	370 Næstved	1085 Sjælland
4220 Korsør	330 Slagelse	1085 Sjælland
4230 Skælskør	330 Slagelse	1085 Sjælland
4241 Vemmelev	330 Slagelse	1085 Sjælland
4242 Boeslunde	330 Slagelse	1085 Sjælland
4243 Rude	330 Slagelse	1085 Sjælland
4243 Rude	370 Næstved	1085 Sjælland
4250 Fuglebjerg	330 Slagelse	1085 Sjælland
4250 Fuglebjerg	370 Næstved	1085 Sjælland
4261 Dalmose	330 Slagelse	1085 Sjælland
4261 Dalmose	370 Næstved	1085 Sjælland
4262 Sandved	330 Slagelse	1085 Sjælland
4262 Sandved	370 Næstved	1085 Sjælland
4270 Høng	326 Kalundborg	1085 Sjælland
4270 Høng	330 Slagelse	1085 Sjælland
4281 Gørlev	326 Kalundborg	1085 Sjælland
4291 Ruds Vedby	326 Kalundborg	1085 Sjælland
4291 Ruds Vedby	340 Sorø	1085 Sjælland
4293 Dianalund	326 Kalundborg	1085 Sjælland
4293 Dianalund	340 Sorø	1085 Sjælland
4295 Stenlille	316 Holbæk	1085 Sjælland
4295 Stenlille	340 Sorø	1085 Sjælland
4296 Nyrup	316 Holbæk	1085 Sjælland
4296 Nyrup	340 Sorø	1085 Sjælland
4300 Holbæk	316 Holbæk	1085 Sjælland
4320 Lejre	259 Køge	1085 Sjælland
4320 Lejre	265 Roskilde	1085 Sjælland
4320 Lejre	350 Lejre	1085 Sjælland
4330 Hvalsø	316 Holbæk	1085 Sjælland
4330 Hvalsø	329 Ringsted	1085 Sjælland
4330 Hvalsø	350 Lejre	1085 Sjælland
4340 Tølløse	316 Holbæk	1085 Sjælland
4340 Tølløse	350 Lejre	1085 Sjælland
4350 Ugerløse	316 Holbæk	1085 Sjælland
4360 Kirke Eskilstrup	316 Holbæk	1085 Sjælland
4360 Kirke Eskilstrup	329 Ringsted	1085 Sjælland
4370 Store Merløse	316 Holbæk	1085 Sjælland
4370 Store Merløse	329 Ringsted	1085 Sjælland
4370 Store Merløse	340 Sorø	1085 Sjælland
4390 Vipperød	316 Holbæk	1085 Sjælland
4400 Kalundborg	326 Kalundborg	1085 Sjælland
4420 Regstrup	316 Holbæk	1085 Sjælland
4440 Mørkøv	316 Holbæk	1085 Sjælland
4450 Jyderup	316 Holbæk	1085 Sjælland
4450 Jyderup	326 Kalundborg	1085 Sjælland
4460 Snertinge	316 Holbæk	1085 Sjælland
4460 Snertinge	326 Kalundborg	1085 Sjælland
4470 Svebølle	326 Kalundborg	1085 Sjælland
4480 Store Fuglede	326 Kalundborg	1085 Sjælland
4490 Jerslev Sjælland	326 Kalundborg	1085 Sjælland
4500 Nykøbing Sj	306 Odsherred	1085 Sjælland
4520 Svinninge	316 Holbæk	1085 Sjælland
4532 Gislinge	316 Holbæk	1085 Sjælland
4534 Hørve	306 Odsherred	1085 Sjælland
4534 Hørve	326 Kalundborg	1085 Sjælland
4540 Fårevejle	306 Odsherred	1085 Sjælland
4550 Asnæs	306 Odsherred	1085 Sjælland
4560 Vig	306 Odsherred	1085 Sjælland
4571 Grevinge	306 Odsherred	1085 Sjælland
4572 Nørre Asmindrup	306 Odsherred	1085 Sjælland
4573 Højby	306 Odsherred	1085 Sjælland
4581 Rørvig	306 Odsherred	1085 Sjælland
4583 Sjællands Odde	306 Odsherred	1085 Sjælland
4591 Føllenslev	306 Odsherred	1085 Sjælland
4591 Føllenslev	326 Kalundborg	1085 Sjælland
4592 Sejerø	326 Kalundborg	1085 Sjælland
4593 Eskebjerg	326 Kalundborg	1085 Sjælland
4600 Køge	259 Køge	1085 Sjælland
4600 Køge	336 Stevns	1085 Sjælland
4621 Gadstrup	265 Roskilde	1085 Sjælland
4622 Havdrup	265 Roskilde	1085 Sjælland
4622 Havdrup	269 Solrød	1085 Sjælland
4623 Lille Skensved	259 Køge	1085 Sjælland
4623 Lille Skensved	265 Roskilde	1085 Sjælland
4623 Lille Skensved	269 Solrød	1085 Sjælland
4632 Bjæverskov	259 Køge	1085 Sjælland
4640 Faxe	320 Faxe	1085 Sjælland
4640 Faxe	370 Næstved	1085 Sjælland
4652 Hårlev	320 Faxe	1085 Sjælland
4652 Hårlev	336 Stevns	1085 Sjælland
4653 Karise	320 Faxe	1085 Sjælland
4653 Karise	336 Stevns	1085 Sjælland
4654 Faxe Ladeplads	320 Faxe	1085 Sjælland
4660 Store Heddinge	336 Stevns	1085 Sjælland
4671 Strøby	336 Stevns	1085 Sjælland
4672 Klippinge	336 Stevns	1085 Sjælland
4673 Rødvig Stevns	336 Stevns	1085 Sjælland
4681 Herfølge	259 Køge	1085 Sjælland
4682 Tureby	259 Køge	1085 Sjælland
4682 Tureby	320 Faxe	1085 Sjælland
4682 Tureby	336 Stevns	1085 Sjælland
4683 Rønnede	320 Faxe	1085 Sjælland
4683 Rønnede	370 Næstved	1085 Sjælland
4684 Holmegaard	320 Faxe	1085 Sjælland
4684 Holmegaard	370 Næstved	1085 Sjælland
4690 Haslev	320 Faxe	1085 Sjælland
4690 Haslev	329 Ringsted	1085 Sjælland
4690 Haslev	370 Næstved	1085 Sjælland
4700 Næstved	370 Næstved	1085 Sjælland
4720 Præstø	390 Vordingborg	1085 Sjælland
4733 Tappernøje	320 Faxe	1085 Sjælland
4733 Tappernøje	370 Næstved	1085 Sjælland
4733 Tappernøje	390 Vordingborg	1085 Sjælland
4735 Mern	390 Vordingborg	1085 Sjælland
4736 Karrebæksminde	370 Næstved	1085 Sjælland
4750 Lundby	370 Næstved	1085 Sjælland
4750 Lundby	390 Vordingborg	1085 Sjælland
4760 Vordingborg	390 Vordingborg	1085 Sjælland
4771 Kalvehave	390 Vordingborg	1085 Sjælland
4772 Langebæk	390 Vordingborg	1085 Sjælland
4773 Stensved	390 Vordingborg	1085 Sjælland
4780 Stege	390 Vordingborg	1085 Sjælland
4791 Borre	390 Vordingborg	1085 Sjælland
4792 Askeby	390 Vordingborg	1085 Sjælland
4793 Bogø By	390 Vordingborg	1085 Sjælland
4800 Nykøbing F	376 Guldborgsund	1085 Sjælland
4840 Nørre Alslev	376 Guldborgsund	1085 Sjælland
4850 Stubbekøbing	376 Guldborgsund	1085 Sjælland
4862 Guldborg	376 Guldborgsund	1085 Sjælland
4863 Eskilstrup	376 Guldborgsund	1085 Sjælland
4871 Horbelev	376 Guldborgsund	1085 Sjælland
4872 Idestrup	376 Guldborgsund	1085 Sjælland
4873 Væggerløse	376 Guldborgsund	1085 Sjælland
4874 Gedser	376 Guldborgsund	1085 Sjælland
4880 Nysted	376 Guldborgsund	1085 Sjælland
4891 Toreby L	376 Guldborgsund	1085 Sjælland
4892 Kettinge	376 Guldborgsund	1085 Sjælland
4894 Øster Ulslev	376 Guldborgsund	1085 Sjælland
4895 Errindlev	360 Lolland	1085 Sjælland
4900 Nakskov	360 Lolland	1085 Sjælland
4912 Harpelunde	360 Lolland	1085 Sjælland
4913 Horslunde	360 Lolland	1085 Sjælland
4920 Søllested	360 Lolland	1085 Sjælland
4930 Maribo	360 Lolland	1085 Sjælland
4930 Maribo	376 Guldborgsund	1085 Sjælland
4941 Bandholm	360 Lolland	1085 Sjælland
4943 Torrig L	360 Lolland	1085 Sjælland
4944 Fejø	360 Lolland	1085 Sjælland
4951 Nørreballe	360 Lolland	1085 Sjælland
4952 Stokkemarke	360 Lolland	1085 Sjælland
4953 Vesterborg	360 Lolland	1085 Sjælland
4960 Holeby	360 Lolland	1085 Sjælland
4970 Rødby	360 Lolland	1085 Sjælland
4983 Dannemare	360 Lolland	1085 Sjælland
4990 Sakskøbing	376 Guldborgsund	1085 Sjælland
5000 Odense C	461 Odense	1083 Syddanmark
5200 Odense V	461 Odense	1083 Syddanmark
5210 Odense NV	461 Odense	1083 Syddanmark
5220 Odense SØ	461 Odense	1083 Syddanmark
5230 Odense M	461 Odense	1083 Syddanmark
5240 Odense NØ	461 Odense	1083 Syddanmark
5250 Odense SV	461 Odense	1083 Syddanmark
5260 Odense S	461 Odense	1083 Syddanmark
5270 Odense N	461 Odense	1083 Syddanmark
5270 Odense N	480 Nordfyns	1083 Syddanmark
5290 Marslev	440 Kerteminde	1083 Syddanmark
5300 Kerteminde	440 Kerteminde	1083 Syddanmark
